date,pm25,aqi,aqi_lag_1,aqi_lag_3,aqi_change_rate,month,day_of_week,is_weekend
2024-03-07,124,222.1812434141201,242.2023182297155,224.28872497365649,-0.08266260604742237,3,3,0
2024-03-08,149,248.52476290832453,222.1812434141201,229.55742887249735,0.11856770215793211,3,4,0
2024-03-09,146,245.36354056902002,248.52476290832453,242.2023182297155,-0.012719949120203466,3,5,1
2024-03-10,130,228.5036880927292,245.36354056902002,222.1812434141201,-0.06871376422589648,3,6,1
2024-03-11,92,188.46153846153845,228.5036880927292,248.52476290832453,-0.17523633848282227,3,0,0
2024-03-12,99,195.8377239199157,188.46153846153845,245.36354056902002,0.03913894324853229,3,1,0
2024-03-13,110,207.42887249736566,195.8377239199157,228.5036880927292,0.05918751681463541,3,2,0
2024-03-14,156,300.0,207.42887249736566,188.46153846153845,0.44627889255778497,3,3,0
2024-03-15,133,231.6649104320337,300.0,195.8377239199157,-0.22778363189322093,3,4,0
2024-03-16,135,233.7723919915701,231.6649104320337,207.42887249736566,0.009097111667045743,3,5,1
2024-03-17,135,233.7723919915701,233.7723919915701,300.0,0.0,3,6,1
2024-03-18,131,229.55742887249735,233.7723919915701,231.6649104320337,-0.018030200585981593,3,0,0
2024-03-19,85,181.08535300316123,229.55742887249735,233.7723919915701,-0.21115446408078942,3,1,0
2024-03-20,111,208.48261327713382,181.08535300316123,233.7723919915701,0.1512947337794588,3,2,0
2024-03-21,111,208.48261327713382,208.48261327713382,229.55742887249735,0.0,3,3,0
2024-03-22,102,198.99894625922022,208.48261327713382,181.08535300316123,-0.04548900682335111,3,4,0
2024-03-23,89,185.30031612223394,198.99894625922022,208.48261327713382,-0.06883770187979865,3,5,1
2024-03-24,80,175.81664910432033,185.30031612223394,208.48261327713382,-0.0511799829400057,3,6,1
2024-03-25,83,178.97787144362485,175.81664910432033,198.99894625922022,0.017980221756068282,3,0,0
2024-03-26,83,178.97787144362485,178.97787144362485,185.30031612223394,0.0,3,1,0
2024-03-27,86,182.1390937829294,178.97787144362485,175.81664910432033,0.017662643508978615,3,2,0
2024-03-28,71,166.33298208640673,182.1390937829294,178.97787144362485,-0.0867804454729535,3,3,0
2024-03-29,73,168.4404636459431,166.33298208640673,178.97787144362485,0.012670256572695715,3,4,0
2024-03-30,79,174.76290832455214,168.4404636459431,182.1390937829294,0.03753518923991228,3,5,1
2024-03-31,157,300.0,174.76290832455214,166.33298208640673,0.7166113958396143,3,6,1
2024-04-01,119,216.91253951527924,300.0,168.4404636459431,-0.2769582016157359,4,0,0
2024-04-02,90,186.3540569020021,216.91253951527924,174.76290832455214,-0.14087928102987612,4,1,0
2024-04-03,104,201.10642781875657,186.3540569020021,300.0,0.07916313259824714,4,2,0
2024-04-04,108,205.32139093782928,201.10642781875657,216.91253951527924,0.020958868221116145,4,3,0
2024-04-05,101,197.94520547945206,205.32139093782928,186.3540569020021,-0.03592507056710281,4,4,0
2024-04-06,97,193.73024236037935,197.94520547945206,201.10642781875657,-0.02129358530742609,4,5,1
2024-04-07,117,214.80505795574288,193.73024236037935,205.32139093782928,0.10878433505575202,4,6,1
2024-04-08,109,206.37513171759747,214.80505795574288,197.94520547945206,-0.03924454255580079,4,0,0
2024-04-09,86,182.1390937829294,206.37513171759747,193.73024236037935,-0.11743681388817973,4,1,0
2024-04-10,69,164.22550052687038,182.1390937829294,214.80505795574288,-0.09835117153601391,4,2,0
2024-04-11,78,173.70916754478398,164.22550052687038,206.37513171759747,0.0577478344562079,4,3,0
2024-04-12,82,177.9241306638567,173.70916754478398,182.1390937829294,0.024264482863209036,4,4,0
2024-04-13,68,163.17175974710221,177.9241306638567,164.22550052687038,-0.08291382884216758,4,5,1
2024-04-14,96,192.67650158061116,163.17175974710221,173.70916754478398,0.18082014853083628,4,6,1
2024-04-15,82,177.9241306638567,192.67650158061116,177.9241306638567,-0.07656549083948594,4,0,0
2024-04-16,81,176.87038988408852,177.9241306638567,163.17175974710221,-0.005922416345868986,4,1,0
2024-04-17,107,204.26765015806112,176.87038988408852,192.67650158061116,0.15490020851951147,4,2,0
2024-04-18,70,165.27924130663857,204.26765015806112,177.9241306638567,-0.19086922878514312,4,3,0
2024-04-19,80,175.81664910432033,165.27924130663857,176.87038988408852,0.06375518010838377,4,4,0
2024-04-20,81,176.87038988408852,175.81664910432033,204.26765015806112,0.005993407252022909,4,5,1
2024-04-21,81,176.87038988408852,176.87038988408852,165.27924130663857,0.0,4,6,1
2024-04-22,91,187.4077976817703,176.87038988408852,175.81664910432033,0.0595770032767351,4,0,0
2024-04-23,97,193.73024236037935,187.4077976817703,176.87038988408852,0.03373629463030636,4,1,0
2024-04-25,79,174.76290832455214,193.73024236037935,176.87038988408852,-0.09790590155017687,4,3,0
2024-04-26,77,172.65542676501582,174.76290832455214,187.4077976817703,-0.012059089538739687,4,4,0
2024-04-27,79,174.76290832455214,172.65542676501582,193.73024236037935,0.012206286237412156,4,5,1
2024-04-30,109,206.37513171759747,174.76290832455214,174.76290832455214,0.1808863430810974,4,1,0
2024-05-02,102,198.99894625922022,206.37513171759747,172.65542676501582,-0.03574163900944605,5,3,0
2024-05-03,86,182.1390937829294,198.99894625922022,174.76290832455214,-0.08472332539052152,5,4,0
2024-05-04,87,183.19283456269758,182.1390937829294,206.37513171759747,0.005785363031530322,5,5,1
2024-05-06,73,168.4404636459431,183.19283456269758,198.99894625922022,-0.0805291918320391,5,0,0
2024-05-07,76,171.60168598524763,168.4404636459431,182.1390937829294,0.01876759461995614,5,1,0
2024-05-08,68,163.17175974710221,171.60168598524763,183.19283456269758,-0.049124961621123675,5,2,0
2024-05-09,58,152.63435194942045,163.17175974710221,168.4404636459431,-0.06457862447529861,5,3,0
2024-05-10,65,160.01053740779767,152.63435194942045,171.60168598524763,0.048325854332067486,5,4,0
2024-05-11,73,168.4404636459431,160.01053740779767,163.17175974710221,0.052683569311821055,5,5,1
2024-05-12,71,166.33298208640673,168.4404636459431,152.63435194942045,-0.012511729746637612,5,6,1
2024-05-13,78,173.70916754478398,166.33298208640673,160.01053740779767,0.04434589800443467,5,0,0
2024-05-14,75,170.54794520547944,173.70916754478398,168.4404636459431,-0.018198362147406777,5,1,0
2024-05-15,76,171.60168598524763,170.54794520547944,166.33298208640673,0.006178560395427857,5,2,0
2024-05-16,62,156.84931506849315,171.60168598524763,173.70916754478398,-0.08596868283696646,5,3,0
2024-05-17,16,58.36909871244635,156.84931506849315,170.54794520547944,-0.6278651348464119,5,4,0
2024-05-18,69,164.22550052687038,58.36909871244635,171.60168598524763,1.8135692369677057,5,5,1
2024-05-19,62,156.84931506849315,164.22550052687038,156.84931506849315,-0.04491498235482827,5,6,1
2024-05-20,65,160.01053740779767,156.84931506849315,58.36909871244635,0.020154517971111785,5,0,0
2024-05-21,69,164.22550052687038,160.01053740779767,164.22550052687038,0.026341784655910416,5,1,0
2024-05-22,76,171.60168598524763,164.22550052687038,156.84931506849315,0.04491498235482849,5,2,0
2024-05-23,75,170.54794520547944,171.60168598524763,160.01053740779767,-0.006140620202640501,5,3,0
2024-05-24,88,184.24657534246575,170.54794520547944,164.22550052687038,0.08032128514056236,5,4,0
2024-05-25,97,193.73024236037935,184.24657534246575,171.60168598524763,0.0514726908778953,5,5,1
2024-05-26,91,187.4077976817703,193.73024236037935,170.54794520547944,-0.032635300516725585,5,6,1
2024-05-27,87,183.19283456269758,187.4077976817703,184.24657534246575,-0.022490863086870982,5,0,0
2024-05-28,99,195.8377239199157,183.19283456269758,193.73024236037935,0.0690250215703192,5,1,0
2024-05-29,92,188.46153846153845,195.8377239199157,187.4077976817703,-0.03766478342749535,5,2,0
2024-05-30,97,193.73024236037935,188.46153846153845,183.19283456269758,0.027956388034666046,5,3,0
2024-06-11,99,195.8377239199157,193.73024236037935,195.8377239199157,0.010878433505575158,6,1,0
