date, pm25
2025-01-06,174
2025-01-07,151
2025-01-08,197
2025-01-09,206
2025-01-10,182
2025-01-11,179
2025-01-12,188
2025-01-13,174
2025-01-14,184
2025-01-15,180
2025-01-16,203
2025-01-17,163
2025-01-18,167
2025-01-19,174
2025-01-20,171
2025-01-21,196
2025-01-22,178
2025-01-23,143
2025-01-24,133
2025-01-25,134
2025-01-26,161
2025-01-27,154
2025-01-28,153
2025-01-29,89
2025-01-30,136
2025-01-31,135
2025-02-01,159
2025-02-02,151
2025-02-03,149
2025-02-04,107
2025-02-05,141
2025-02-06,154
2025-02-07,137
2025-02-08,155
2025-02-09,175
2025-02-10,116
2025-02-11,94
2025-02-12,165
2025-02-13,240
2025-02-14,105
2025-02-15,81
2025-02-16,77
2025-02-17,140
2025-02-18,114
2025-02-19,74
2025-02-20,131
2025-02-21,179
2025-02-22,172
2025-02-23,124
2025-02-24,117
2025-02-25,175
2025-02-26,129
2025-02-27,89
2025-02-28,81
2025-03-01,100
2025-03-02,110
2025-03-03,92
2025-03-04,144
2024-10-03,62
2024-10-04,62
2024-10-05,60
2024-10-06,63
2024-10-07,95
2024-10-08,123
2024-10-09,132
2024-10-10,110
2024-10-11,135
2024-10-12,149
2024-10-13,145
2024-10-14,141
2024-10-15,148
2024-10-16,110
2024-10-17,70
2024-10-18,89
2024-10-19,122
2024-10-20,106
2024-10-21,95
2024-10-22,113
2024-10-23,138
2024-10-24,151
2024-11-01,107
2024-11-02,106
2024-11-03,99
2024-11-04,95
2024-11-05,103
2024-11-06,108
2024-11-07,97
2024-11-08,98
2024-11-09,99
2024-11-10,82
2024-11-11,78
2024-11-12,87
2024-11-13,100
2024-11-14,131
2024-11-15,176
2024-11-16,107
2024-11-17,137
2024-11-18,167
2024-11-19,169
2024-11-20,167
2024-11-21,147
2024-11-22,101
2024-11-23,94
2024-11-24,109
2024-11-25,156
2024-11-26,130
2024-11-27,106
2024-11-28,119
2024-11-29,121
2024-07-01,87
2024-07-08,97
2024-07-09,99
2024-07-10,87
2024-07-11,88
2024-07-12,78
2024-07-13,79
2024-07-14,80
2024-07-15,87
2024-07-16,86
2024-07-17,90
2024-07-18,84
2024-07-19,80
2024-07-20,79
2024-07-21,91
2024-07-22,88
2024-07-23,85
2024-07-24,93
2024-07-25,96
2024-07-26,98
2024-07-27,98
2024-07-28,95
2024-07-29,97
2024-07-30,86
2024-07-31,67
2024-08-01,63
2024-08-02,66
2024-08-03,83
2024-08-04,89
2024-08-05,84
2024-08-06,85
2024-08-07,70
2024-08-08,66
2024-08-09,58
2024-08-10,54
2024-08-11,49
2024-08-12,58
2024-08-13,68
2024-08-14,63
2024-08-15,58
2024-08-16,64
2024-08-17,67
2024-08-18,52
2024-08-19,67
2024-08-20,67
2024-08-21,65
2024-08-22,71
2024-08-23,71
2024-08-24,76
2024-08-25,72
2024-08-26,74
2024-08-27,80
2024-08-28,74
2024-08-29,93
2024-08-30,57
2024-08-31,92
2024-09-01,74
2024-09-02,89
2024-09-03,79
2024-09-04,74
2024-09-05,60
2024-09-06,71
2024-09-07,66
2024-09-08,61
2024-09-09,67
2024-09-10,80
2024-09-11,130
2024-09-12,135
2024-04-01,119
2024-04-02,90
2024-04-03,104
2024-04-04,108
2024-04-05,101
2024-04-06,97
2024-04-07,117
2024-04-08,109
2024-04-09,86
2024-04-10,69
2024-04-11,78
2024-04-12,82
2024-04-13,68
2024-04-14,96
2024-04-15,82
2024-04-16,81
2024-04-17,107
2024-04-18,70
2024-04-19,80
2024-04-20,81
2024-04-21,81
2024-04-22,91
2024-04-23,97
2024-04-25,79
2024-04-26,77
2024-04-27,79
2024-04-30,109
2024-05-02,102
2024-05-03,86
2024-05-04,87
2024-05-06,73
2024-05-07,76
2024-05-08,68
2024-05-09,58
2024-05-10,65
2024-05-11,73
2024-05-12,71
2024-05-13,78
2024-05-14,75
2024-05-15,76
2024-05-16,62
2024-05-17,16
2024-05-18,69
2024-05-19,62
2024-05-20,65
2024-05-21,69
2024-05-22,76
2024-05-23,75
2024-05-24,88
2024-05-25,97
2024-05-26,91
2024-05-27,87
2024-05-28,99
2024-05-29,92
2024-05-30,97
2024-06-11,99
2024-06-12,71
2024-06-13,70
2024-06-14,76
2024-06-15,81
2024-06-16,79
2024-06-17,70
2024-06-18,66
2024-06-19,74
2024-06-20,85
2024-06-21,99
2024-06-22,97
2024-06-23,92
2024-06-24,88
2024-06-25,87
2024-06-26,98
2024-06-27,99
2024-06-28,111
2024-06-29,51
2024-06-30,61
2024-03-04,126
2024-03-05,131
2024-03-06,143
2024-03-07,124
2024-03-08,149
2024-03-09,146
2024-03-10,130
2024-03-11,92
2024-03-12,99
2024-03-13,110
2024-03-14,156
2024-03-15,133
2024-03-16,135
2024-03-17,135
2024-03-18,131
2024-03-19,85
2024-03-20,111
2024-03-21,111
2024-03-22,102
2024-03-23,89
2024-03-24,80
2024-03-25,83
2024-03-26,83
2024-03-27,86
2024-03-28,71
2024-03-29,73
2024-03-30,79
2024-03-31,157
